,Omegam,sigma8,h,Omegab,ns,w0,wa,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3294802.836669429,437872.2799740463,-5776555.645865576,-2464596.231949754,580794.103798366,318776.2017561835,79956.8976023774,894525.0986097117,895161.2889337535,756094.8223435374,678226.584836004,127.40119810903158,119.73701039832835,95.6264838699807,81.88876467427434
sigma8,437872.2799740463,310987.5284474348,-2079004.5427843947,-128637.58042504193,2823.4463677350486,94297.83342106982,13501.852921542968,242675.77899534596,230270.76430935273,190353.14043539792,178672.0965949544,29.82365942957851,26.11534309389285,19.62369840480669,16.0883121121588
h,-5776555.645865576,-2079004.5427843947,18328015.800001405,1836858.644654865,-449718.7392263401,-890115.5731415085,-172797.21583579265,-2422983.6489572595,-2328153.0000502267,-1929107.4732441534,-1771672.9714422405,-316.62499401761926,-282.61004201666964,-215.24163529623314,-176.1790433757366
Omegab,-2464596.231949754,-128637.58042504193,1836858.644654865,5413781.812149429,-1127227.6153269005,11772.048304523443,6821.656138122731,-337330.93653598696,-271933.0939468578,-149732.45168371516,18428.930206303135,-99.96751027984735,-88.39800586348655,-65.43609191967535,-49.10127836623158
ns,580794.103798366,2823.4463677350486,-449718.7392263401,-1127227.6153269005,332851.7051111149,-36357.908935366686,-9126.293126493803,61940.021340010164,42485.17343998898,11204.15422483845,-36750.858901528845,27.697477730746254,24.33462303700447,17.756968884531698,12.905424636094732
w0,318776.2017561835,94297.83342106982,-890115.5731415085,11772.048304523443,-36357.908935366686,76946.21698783438,18109.07902398658,144862.44420833813,147976.0503274739,129301.89374892146,127615.55970796835,12.546397340914877,12.51757587894985,10.375858198065002,9.312144310879884
wa,79956.8976023774,13501.852921542968,-172797.21583579265,6821.656138122731,-9126.293126493803,18109.07902398658,4733.6151904328835,29899.12824190307,33242.34691494826,30790.513228648666,31898.082480944846,2.3594875015992294,2.617425374031293,2.3412812841955972,2.241128118150424
lnbgs8_1,894525.0986097117,242675.77899534596,-2422983.6489572595,-337330.93653598696,61940.021340010164,144862.44420833813,29899.12824190307,1272039.682361279,0.0,0.0,0.0,143.36194920254883,0.0,0.0,0.0
lnbgs8_2,895161.2889337535,230270.76430935273,-2328153.0000502267,-271933.0939468578,42485.17343998898,147976.0503274739,33242.34691494826,0.0,1256933.1400904667,0.0,0.0,0.0,132.82878186794449,0.0,0.0
lnbgs8_3,756094.8223435374,190353.14043539792,-1929107.4732441534,-149732.45168371516,11204.15422483845,129301.89374892146,30790.513228648666,0.0,0.0,1073434.5619641524,0.0,0.0,0.0,105.22504320365157,0.0
lnbgs8_4,678226.584836004,178672.0965949544,-1771672.9714422405,18428.930206303135,-36750.858901528845,127615.55970796835,31898.082480944846,0.0,0.0,0.0,1025149.2309969412,0.0,0.0,0.0,90.44373800200663
Ps_1,127.40119810903158,29.82365942957851,-316.62499401761926,-99.96751027984735,27.697477730746254,12.546397340914877,2.3594875015992294,143.36194920254883,0.0,0.0,0.0,0.02401069591454629,0.0,0.0,0.0
Ps_2,119.73701039832835,26.11534309389285,-282.61004201666964,-88.39800586348655,24.33462303700447,12.51757587894985,2.617425374031293,0.0,132.82878186794449,0.0,0.0,0.0,0.02097924452958898,0.0,0.0
Ps_3,95.6264838699807,19.62369840480669,-215.24163529623314,-65.43609191967535,17.756968884531698,10.375858198065002,2.3412812841955972,0.0,0.0,105.22504320365157,0.0,0.0,0.0,0.01564617539948739,0.0
Ps_4,81.88876467427434,16.0883121121588,-176.1790433757366,-49.10127836623158,12.905424636094732,9.312144310879884,2.241128118150424,0.0,0.0,0.0,90.44373800200663,0.0,0.0,0.0,0.012576635122033905
