,ns,h,Omegab,Omegam,w0,sigma8,wa,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
ns,332734.3825945332,-447526.993007638,-1128449.607396068,581215.9961480579,-36194.97042000774,3462.186035902201,-9142.460016395285,62404.271382404055,42867.74592771166,11568.582076761406,-36424.373758308255,27.750287066926667,24.36863906049935,17.796014476484164,12.929204378485846
h,-447526.993007638,18268656.263272896,1713795.209191037,-5758488.024473609,-888252.7452489561,-2074214.6115936404,-175289.8187547875,-2418810.7243630253,-2324683.8323911587,-1926540.2269467732,-1769993.48875606,-315.867394381814,-281.97928727256283,-214.76607537177148,-175.80933559107643
Omegab,-1128449.607396068,1713795.209191037,5397498.768583301,-2442560.4509173688,17265.25243445918,-112685.57507085842,7605.43281766755,-325715.76491077687,-259807.02821129595,-139289.65309132286,27312.17804768018,-98.6410226738691,-87.1484785002934,-64.46279796101335,-48.352909636402664
Omegam,581215.9961480579,-5758488.024473609,-2442560.4509173688,3293038.2109173667,318426.9619594704,437384.8375878619,80460.6497993586,894086.873050118,895005.8132835677,755958.1212729306,677993.182058847,127.35800598453457,119.69924690622105,95.62993459566097,81.8778097663636
w0,-36194.97042000774,-888252.7452489561,17265.25243445918,318426.9619594704,76816.22563213768,93987.87152938874,18223.851099631007,144714.9413138066,147781.7547381461,129180.35184258936,127460.13515698734,12.532108597503273,12.492624914014854,10.372439535661083,9.291508935760044
sigma8,3462.186035902201,-2074214.6115936404,-112685.57507085842,437384.8375878619,93987.87152938874,310401.7482136338,13888.052564484156,242400.77248638586,230032.08346250484,190166.30153539873,178548.4445427045,29.802764362858955,26.092613372542445,19.614852574993268,16.086235964685486
wa,-9142.460016395285,-175289.8187547875,7605.43281766755,80460.6497993586,18223.851099631007,13888.052564484156,4769.1826207676695,30288.013762664385,33514.88181201282,31000.354852424793,32077.219471035572,2.396230695716415,2.641693142001682,2.36024792815133,2.255744467073785
lnbgs8_1,62404.271382404055,-2418810.7243630253,-325715.76491077687,894086.873050118,144714.9413138066,242400.77248638586,30288.013762664385,1271852.3473894503,0.0,0.0,0.0,143.3665775055462,0.0,0.0,0.0
lnbgs8_2,42867.74592771166,-2324683.8323911587,-259807.02821129595,895005.8132835677,147781.7547381461,230032.08346250484,33514.88181201282,0.0,1256742.9432901256,0.0,0.0,0.0,132.832374219215,0.0,0.0
lnbgs8_3,11568.582076761406,-1926540.2269467732,-139289.65309132286,755958.1212729306,129180.35184258936,190166.30153539873,31000.354852424793,0.0,0.0,1073241.3237892303,0.0,0.0,0.0,105.22573812868615,0.0
lnbgs8_4,-36424.373758308255,-1769993.48875606,27312.17804768018,677993.182058847,127460.13515698734,178548.4445427045,32077.219471035572,0.0,0.0,0.0,1024910.1373918788,0.0,0.0,0.0,90.44136488032852
Ps_1,27.750287066926667,-315.867394381814,-98.6410226738691,127.35800598453457,12.532108597503273,29.802764362858955,2.396230695716415,143.3665775055462,0.0,0.0,0.0,0.024013756365766296,0.0,0.0,0.0
Ps_2,24.36863906049935,-281.97928727256283,-87.1484785002934,119.69924690622105,12.492624914014854,26.092613372542445,2.641693142001682,0.0,132.832374219215,0.0,0.0,0.0,0.020981705295893494,0.0,0.0
Ps_3,17.796014476484164,-214.76607537177148,-64.46279796101335,95.62993459566097,10.372439535661083,19.614852574993268,2.36024792815133,0.0,0.0,105.22573812868615,0.0,0.0,0.0,0.0156478357787828,0.0
Ps_4,12.929204378485846,-175.80933559107643,-48.352909636402664,81.8778097663636,9.291508935760044,16.086235964685486,2.255744467073785,0.0,0.0,0.0,90.44136488032852,0.0,0.0,0.0,0.012577684774453314
