,h,wa,Omegab,w0,sigma8,ns,Omegam,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
h,13876498.27577214,-155401.05468685544,-20655.90582641086,-770407.3819896677,-1678183.7595334302,107227.25293450248,-4042909.7774122423,-1860832.9517726994,-1825196.2941179138,-1555710.9419110203,-1493579.9870196704,-171.50812176431913,-158.50334226307137,-126.48291083028579,-111.277879277555
wa,-155401.05468685544,4242.543338081186,20901.996105626335,16528.562466784675,13627.70497661677,-13502.057244632651,60902.54163577806,25746.406773000104,28938.86239536929,27206.08094309464,29096.688361235436,1.6819206607703774,1.857568262506799,1.6850646336967852,1.685104896380182
Omegab,-20655.90582641086,20901.996105626335,4629100.087260881,78409.52501057652,26143.70105235913,-882590.7314811111,-1610076.1258919179,-71225.08382781516,-31137.271609452728,31981.46859602013,154544.67661530268,-38.45771192320549,-34.92241538547337,-26.633057591475144,-20.318979520917587
w0,-770407.3819896677,16528.562466784675,78409.52501057652,70462.67456983644,87340.7690408355,-55883.67040339541,242087.2479584469,123800.22450687774,128016.0105706164,114126.04243900589,116041.49340850348,8.531721715946885,8.580267589410468,7.305598595764446,6.8747654175135615
sigma8,-1678183.7595334302,13627.70497661677,26143.70105235913,87340.7690408355,268537.94314448594,-39664.79850743036,325881.57620378723,200764.75839637435,193756.97540750707,163729.7152317445,159115.22320835825,17.674867550655364,16.00844339221034,12.579984998334403,11.049009315352906
ns,107227.25293450248,-13502.057244632651,-882590.7314811111,-55883.67040339541,-39664.79850743036,253186.69361036978,309948.40802373044,-18293.69198182589,-30681.75817032899,-44120.91677942451,-78832.87754261124,8.576986755131697,7.543050131170164,5.42696970625401,3.593827437360063
Omegam,-4042909.7774122423,60902.54163577806,-1610076.1258919179,242087.2479584469,325881.57620378723,309948.40802373044,2285896.0700188023,616962.0135714408,635612.2917166826,554829.8028054903,520416.1279454605,66.45445953211423,64.81912502874839,54.15264739606272,49.460077730879455
lnbgs8_1,-1860832.9517726994,25746.406773000104,-71225.08382781516,123800.22450687774,200764.75839637435,-18293.69198182589,616962.0135714408,1011689.122312683,0.0,0.0,0.0,84.28464104780986,0.0,0.0,0.0
lnbgs8_2,-1825196.2941179138,28938.86239536929,-31137.271609452728,128016.0105706164,193756.97540750707,-30681.75817032899,635612.2917166826,0.0,1018234.7727346285,0.0,0.0,0.0,80.46830176872734,0.0,0.0
lnbgs8_3,-1555710.9419110203,27206.08094309464,31981.46859602013,114126.04243900589,163729.7152317445,-44120.91677942451,554829.8028054903,0.0,0.0,891905.8193614904,0.0,0.0,0.0,66.39790689333324,0.0
lnbgs8_4,-1493579.9870196704,29096.688361235436,154544.67661530268,116041.49340850348,159115.22320835825,-78832.87754261124,520416.1279454605,0.0,0.0,0.0,886155.3731850749,0.0,0.0,0.0,60.84246648155978
Ps_1,-171.50812176431913,1.6819206607703774,-38.45771192320549,8.531721715946885,17.674867550655364,8.576986755131697,66.45445953211423,84.28464104780986,0.0,0.0,0.0,0.00938411574412109,0.0,0.0,0.0
Ps_2,-158.50334226307137,1.857568262506799,-34.92241538547337,8.580267589410468,16.00844339221034,7.543050131170164,64.81912502874839,0.0,80.46830176872734,0.0,0.0,0.0,0.008555931726445204,0.0,0.0
Ps_3,-126.48291083028579,1.6850646336967852,-26.633057591475144,7.305598595764446,12.579984998334403,5.42696970625401,54.15264739606272,0.0,0.0,66.39790689333324,0.0,0.0,0.0,0.006742318846019087,0.0
Ps_4,-111.277879277555,1.685104896380182,-20.318979520917587,6.8747654175135615,11.049009315352906,3.593827437360063,49.460077730879455,0.0,0.0,0.0,60.84246648155978,0.0,0.0,0.0,0.005886841576361887
