,Omegab,w0,wa,h,Omegam,sigma8,ns,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegab,4617778.232439755,79072.92519851809,20952.86781381021,-36094.270168818766,-1608655.8802015556,26472.72355636322,-883208.8858854639,-71214.02059927571,-30891.551400582393,31621.16640402662,155582.00701479687,-38.41958673414214,-34.9991266344728,-26.664760458709804,-20.265981874804403
w0,79072.92519851809,70457.63018214161,16537.45627715903,-770965.532138997,242143.76764235937,87337.30942668019,-55878.41268040515,123792.27651683302,128110.62075597214,114136.49849369455,116033.85114493757,8.53511575996303,8.586995105987866,7.308916212097975,6.875404493121662
wa,20952.86781381021,16537.45627715903,4245.201672568857,-155659.2721712864,60961.52833161677,13648.844364298784,-13497.691233797248,25786.79473119081,28917.838084718394,27268.658326481323,29091.988517429454,1.686286142737425,1.8581378176625631,1.6893580468850922,1.6841173869702122
h,-36094.270168818766,-770965.532138997,-155659.2721712864,13854878.773661468,-4032981.741787999,-1677219.678819256,112114.11029984674,-1859513.4008747675,-1824062.3303624918,-1555151.97657476,-1493758.0477557871,-171.21358318309586,-158.24541835532526,-126.28538473915305,-111.1371854787632
Omegam,-1608655.8802015556,242143.76764235937,60961.52833161677,-4032981.741787999,2285341.900063794,325865.8344820618,309685.5985472747,616964.5848836359,635510.8981765275,554811.2671286014,520684.68972628546,66.43543592770807,64.79971760531218,54.14071526174693,49.4676713396252
sigma8,26472.72355636322,87337.30942668019,13648.844364298784,-1677219.678819256,325865.8344820618,268513.30155927857,-39690.215174165496,200863.78994564697,193686.90810566762,163714.68386228912,159100.90271800588,17.684598882248373,16.005651302275485,12.578524250157752,11.045961237117877
ns,-883208.8858854639,-55878.41268040515,-13497.691233797248,112114.11029984674,309685.5985472747,-39690.215174165496,253167.05812095577,-18400.4279534495,-30764.343754549045,-44097.03049752987,-78796.9994522524,8.570122777117339,7.533614151341556,5.4288026804226615,3.591999986959154
lnbgs8_1,-71214.02059927571,123792.27651683302,25786.79473119081,-1859513.4008747675,616964.5848836359,200863.78994564697,-18400.4279534495,1011762.480517992,0.0,0.0,0.0,84.28796232018021,0.0,0.0,0.0
lnbgs8_2,-30891.551400582393,128110.62075597214,28917.838084718394,-1824062.3303624918,635510.8981765275,193686.90810566762,-30764.343754549045,0.0,1018322.7970447859,0.0,0.0,0.0,80.4723737370921,0.0,0.0
lnbgs8_3,31621.16640402662,114136.49849369455,27268.658326481323,-1555151.97657476,554811.2671286014,163714.68386228912,-44097.03049752987,0.0,0.0,891983.0830413923,0.0,0.0,0.0,66.40168299061992,0.0
lnbgs8_4,155582.00701479687,116033.85114493757,29091.988517429454,-1493758.0477557871,520684.68972628546,159100.90271800588,-78796.9994522524,0.0,0.0,0.0,886228.0028960677,0.0,0.0,0.0,60.84673614256444
Ps_1,-38.41958673414214,8.53511575996303,1.686286142737425,-171.21358318309586,66.43543592770807,17.684598882248373,8.570122777117339,84.28796232018021,0.0,0.0,0.0,0.009383517716081013,0.0,0.0,0.0
Ps_2,-34.9991266344728,8.586995105987866,1.8581378176625631,-158.24541835532526,64.79971760531218,16.005651302275485,7.533614151341556,0.0,80.4723737370921,0.0,0.0,0.0,0.008555405660597773,0.0,0.0
Ps_3,-26.664760458709804,7.308916212097975,1.6893580468850922,-126.28538473915305,54.14071526174693,12.578524250157752,5.4288026804226615,0.0,0.0,66.40168299061992,0.0,0.0,0.0,0.006741954930932994,0.0
Ps_4,-20.265981874804403,6.875404493121662,1.6841173869702122,-111.1371854787632,49.4676713396252,11.045961237117877,3.591999986959154,0.0,0.0,0.0,60.84673614256444,0.0,0.0,0.0,0.005886634727635852
