,Omegam,Omegab,h,ns,sigma8,w0,wa,AIA,betaIA,etaIA
Omegam,9859472.121870382,-3006084.682319235,876325.7838870261,1617955.560549832,6914193.357861233,-394166.70850886864,-79842.02874974617,-9732.624911732957,14073.674346177324,-9651.260430162747
Omegab,-3006084.682319235,1135576.0769250307,-327061.32064661226,-607851.93532544,-2049095.9518719157,110550.24909461927,22340.7680598262,3977.926805030184,-4694.167949701148,4364.973462898322
h,876325.7838870261,-327061.32064661226,95866.82863933522,182751.29337101983,594631.7313613414,-31800.558514618675,-6360.921831438265,-1147.6378231550375,1402.688979005732,-1238.5808229322536
ns,1617955.560549832,-607851.93532544,182751.29337101983,363582.5204559512,1078988.9962992484,-56775.20352825678,-11007.974125720708,-2220.661263483082,2806.956897058609,-2353.7993305702576
sigma8,6914193.357861233,-2049095.9518719157,594631.7313613414,1078988.9962992484,4942213.429021758,-280664.63341371337,-58586.469351916465,-5793.523072223119,8612.168504497422,-5667.605277688196
w0,-394166.70850886864,110550.24909461927,-31800.558514618675,-56775.20352825678,-280664.63341371337,16985.307263203562,3503.448670034531,385.27322278987185,-483.86509098731847,411.3267476283431
wa,-79842.02874974617,22340.7680598262,-6360.921831438265,-11007.974125720708,-58586.469351916465,3503.448670034531,769.5713794912672,50.83541635873328,-66.18068660868425,54.020106535682956
AIA,-9732.624911732957,3977.926805030184,-1147.6378231550375,-2220.661263483082,-5793.523072223119,385.27322278987185,50.83541635873328,96.54604903822573,-52.72720498995043,129.62911825521263
betaIA,14073.674346177324,-4694.167949701148,1402.688979005732,2806.956897058609,8612.168504497422,-483.86509098731847,-66.18068660868425,-52.72720498995043,80.89835516634575,-49.687775973120964
etaIA,-9651.260430162747,4364.973462898322,-1238.5808229322536,-2353.7993305702576,-5667.605277688196,411.3267476283431,54.020106535682956,129.62911825521263,-49.687775973120964,182.82480805727204
