,Omegam,Omegab,h,ns,sigma8,w0,wa,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2286756.350914107,-1608766.2004144664,-4035745.2738040434,309791.69871835364,326221.10866190767,242216.60289552945,60983.166869435896,617341.3839959851,635825.4408534464,554974.7464423175,520821.79346857907,66.4868384656693,64.84073697458193,54.16381080754253,49.48195905666146
Omegab,-1608766.2004144664,4617519.584292206,-36283.983783423435,-883163.324460282,26498.12717926132,79081.77096353562,20954.724528772167,-71156.11357729955,-30841.341959129844,31652.20653984332,155598.9229987855,-38.40615796479054,-34.98762286432968,-26.657127919559624,-20.259970434340143
h,-4035745.2738040434,-36283.983783423435,13857255.367448183,112056.85709653329,-1677690.5584966987,-770903.0443360354,-155687.05534794304,-1859585.1235339039,-1824158.4341584314,-1555240.3391246835,-1493874.0169316663,-171.22636528514542,-158.2604084383364,-126.2970102470173,-111.14359864977307
ns,309791.69871835364,-883163.324460282,112056.85709653329,253169.99947046168,-39697.309620731765,-55872.72807104087,-13496.734600775777,-18399.11778590623,-30762.058124430187,-44094.14842472796,-78793.89704342102,8.570120570831392,7.5337171261467395,5.428981761438328,3.5921124943259053
sigma8,326221.10866190767,26498.12717926132,-1677690.5584966987,-39697.309620731765,268611.61873274494,87333.03806528808,13653.684802035048,200884.7163434556,193719.35228471074,163742.46360829656,159137.81865575272,17.686599492755114,16.00852758107943,12.580743807116416,11.048010683274633
w0,242216.60289552945,79081.77096353562,-770903.0443360354,-55872.72807104087,87333.03806528808,70445.53022426434,16537.205693207765,123780.48263617058,128083.0202990798,114129.49484410105,116028.77244692373,8.534645222663865,8.585139022118822,7.308651220582268,6.874825537703115
wa,60983.166869435896,20954.724528772167,-155687.05534794304,-13496.734600775777,13653.684802035048,16537.205693207765,4245.387134720629,25793.383801698124,28918.845359181752,27269.515494122417,29091.485633176257,1.6869924945177812,1.8583019736356112,1.6894754210440415,1.6840102455694461
lnbgs8_1,617341.3839959851,-71156.11357729955,-1859585.1235339039,-18399.11778590623,200884.7163434556,123780.48263617058,25793.383801698124,1011736.5080802566,0.0,0.0,0.0,84.28597990567042,0.0,0.0,0.0
lnbgs8_2,635825.4408534464,-30841.341959129844,-1824158.4341584314,-30762.058124430187,193719.35228471074,128083.0202990798,28918.845359181752,0.0,1018286.0251142245,0.0,0.0,0.0,80.46978010486302,0.0,0.0
lnbgs8_3,554974.7464423175,31652.20653984332,-1555240.3391246835,-44094.14842472796,163742.46360829656,114129.49484410105,27269.515494122417,0.0,0.0,891962.6558106767,0.0,0.0,0.0,66.40020925931876,0.0
lnbgs8_4,520821.79346857907,155598.9229987855,-1493874.0169316663,-78793.89704342102,159137.81865575272,116028.77244692373,29091.485633176257,0.0,0.0,0.0,886218.583610676,0.0,0.0,0.0,60.84267528139176
Ps_1,66.4868384656693,-38.40615796479054,-171.22636528514542,8.570120570831392,17.686599492755114,8.534645222663865,1.6869924945177812,84.28597990567042,0.0,0.0,0.0,0.009383294973771543,0.0,0.0,0.0
Ps_2,64.84073697458193,-34.98762286432968,-158.2604084383364,7.5337171261467395,16.00852758107943,8.585139022118822,1.8583019736356112,0.0,80.46978010486302,0.0,0.0,0.0,0.008555174965774308,0.0,0.0
Ps_3,54.16381080754253,-26.657127919559624,-126.2970102470173,5.428981761438328,12.580743807116416,7.308651220582268,1.6894754210440415,0.0,0.0,66.40020925931876,0.0,0.0,0.0,0.0067418081800480105,0.0
Ps_4,49.48195905666146,-20.259970434340143,-111.14359864977307,3.5921124943259053,11.048010683274633,6.874825537703115,1.6840102455694461,0.0,0.0,0.0,60.84267528139176,0.0,0.0,0.0,0.0058859212750680505
